path,bytes,area,review_method,note
.agents/skills/brainstorming/SKILL.md,10634,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/brainstorming/scripts/frame-template.html,7703,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/brainstorming/scripts/helper.js,2707,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/brainstorming/scripts/server.cjs,11218,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/brainstorming/scripts/start-server.sh,4606,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/brainstorming/scripts/stop-server.sh,1314,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/brainstorming/spec-document-reviewer-prompt.md,1748,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/brainstorming/visual-companion.md,12047,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/frontend-design/LICENSE.txt,10174,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/frontend-design/SKILL.md,4440,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/SKILL.md,2576,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/_contributing.md,4113,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/_sections.md,1682,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/_template.md,1040,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/advanced-full-text-search.md,1468,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/advanced-jsonb-indexing.md,1444,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/conn-idle-timeout.md,1282,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/conn-limits.md,1325,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/conn-pooling.md,1382,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/conn-prepared-statements.md,1529,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/data-batch-inserts.md,1287,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/data-n-plus-one.md,1361,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/data-pagination.md,1358,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/data-upsert.md,1390,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/lock-advisory.md,1531,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/lock-deadlock-prevention.md,1855,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/lock-short-transactions.md,1350,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/lock-skip-locked.md,1353,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/monitor-explain-analyze.md,1441,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/monitor-pg-stat-statements.md,1418,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/monitor-vacuum-analyze.md,1506,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/query-composite-indexes.md,1454,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/query-covering-indexes.md,1287,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/query-index-types.md,1521,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/query-missing-indexes.md,1218,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/query-partial-indexes.md,1347,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/schema-constraints.md,1880,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/schema-data-types.md,1453,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/schema-foreign-key-indexes.md,1679,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/schema-lowercase-identifiers.md,1728,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/schema-partitioning.md,1548,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/schema-primary-keys.md,1821,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/security-privileges.md,1566,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/security-rls-basics.md,1372,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/supabase-postgres-best-practices/references/security-rls-performance.md,1493,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/SKILL.md,10754,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/references/analyze-db-mongo.md,4029,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/references/analyze-db-mysql.md,12453,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/references/analyze-db-postgres.md,28482,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/references/analyze-db-redis.md,9731,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/references/analyze-db.md,16295,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/references/configure.md,11359,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/references/deploy.md,8384,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/references/operate.md,7242,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/references/request.md,8614,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/references/setup.md,10342,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/scripts/analyze-mongo.py,63959,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/scripts/analyze-mysql.py,49755,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/scripts/analyze-postgres.py,147048,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/scripts/analyze-redis.py,43254,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/scripts/dal.py,23510,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/scripts/enable-pg-stats.py,6241,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/scripts/pg-extensions.py,13363,Development skills,Inventory; selected applicable instructions read; not production runtime,
.agents/skills/use-railway/scripts/railway-api.sh,1394,Development skills,Inventory; selected applicable instructions read; not production runtime,
.claude/skills/frontend-design/LICENSE.txt,10174,Development skills,Inventory; selected applicable instructions read; not production runtime,
.claude/skills/frontend-design/SKILL.md,8260,Development skills,Inventory; selected applicable instructions read; not production runtime,
.env.example,885,Root configuration/documentation,Configuration and repository inventory review,
.gitattributes,551,Root configuration/documentation,Configuration and repository inventory review,
.gitignore,5337,Root configuration/documentation,Configuration and repository inventory review,
.hintrc,51,Root configuration/documentation,Configuration and repository inventory review,
.npmrc,93,Root configuration/documentation,Configuration and repository inventory review,
.stylelintrc.json,68,Root configuration/documentation,Configuration and repository inventory review,
.superpowers/brainstorm/11252-1787951942/content/question-bank-directions.html,42668,Generated design previews,Inventory; archive candidate; not production runtime,
.superpowers/brainstorm/11252-1787951942/content/question-bank-hybrid-refinement.html,29987,Generated design previews,Inventory; archive candidate; not production runtime,
